code,term
1197667008,Secondary bile acid malabsorption
1197730009,Microscopic enteritis
1217373008,"Diaphragmatic hernia, short bowel, asplenia syndrome"
1220591004,Pediatric collagenous gastritis
155841000,Malabsorption
155844008,Post-surgical malabsorption
190645001,Adult osteomalacia due to malabsorption
197476001,Intestinal malabsorption
197482003,(Other postsurgical nonabsorption) or (postsurgical malabsorption - other)
197488004,Other intestinal malabsorption
197489007,(Chronic steatorrhoea) or (malabsorption due to intolerance to fat)
197494007,Intestinal malabsorption of fat
197496009,(Intolerance NEC: [fat] or [food] or [milk]) or (malabsorption NOS: [syndrome] or [other gastrointestinal tract])
197497000,Intestinal malabsorption NOS
197570005,[X]Other intestinal malabsorption
203434006,Post-surgical malabsorption osteoporosis
203446005,Pathological fracture co-occurrent and due to post-surgical malabsorption osteoporosis
22892000,AIDS with intestinal malabsorption
235716009,Malabsorption syndrome NOS
235722000,Primary malabsorption of infancy
235724004,Acquired short bowel syndrome
235728001,Autoimmune enteropathy
235729009,Congenital microvillous atrophy
235730004,Familial absence of villi
235733002,Postprocedural pancreatic steatorrhea
24412005,"Congenital secretory diarrhea, chloride type"
253791005,Congenital blind loop syndrome
26629001,Short bowel syndrome
266479008,Post-surgical malabsorption - other
266480006,Post-surgical malabsorption
266482003,Other gastrointestinal tract malabsorption NOS
27868004,Chronic steatorrhea
302920007,Pancreatic malabsorption
303062005,Malabsorption due to intolerance to fat
32230006,Malabsorption syndrome
420321004,Intestinal malabsorption with acquired immunodeficiency syndrome
44332000,Bile acid malabsorption syndrome
450541000000109,[X]Other intestinal malabsorption
53156005,Postcholecystectomy diarrhea
54576000,Pancreatic steatorrhea
54883000,Postoperative blind loop syndrome
59285001,Bile acid malabsorption syndrome type II
606751000000107,Other intestinal malabsorption
606761000000105,Intestinal malabsorption NOS
61738006,Non-gluten sensitive enteropathy syndrome
650171000000105,Malabsorption syndrome NOS
651451000000102,Other gastrointestinal tract malabsorption NOS
671761000000109,Post-surgical malabsorption - other
69478001,Pancreatic colipase deficiency
711499009,Collagenous gastritis
713505000,Gastrointestinal malabsorption syndrome co-occurrent with human immunodeficiency virus infection
715201005,Congenital short bowel syndrome
717186009,Intestinal malabsorption due to bile acid synthesis defect
722288007,Autoimmune enteropathy and endocrinopathy with susceptibility to chronic infection syndrome
722392003,Congenital malabsorptive diarrhea due to paucity of enteroendocrine cells
724276006,"X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome"
735618008,Osteoporosis due to malabsorption
77147000,Malabsorption in the elderly
77225009,Blind loop syndrome
78625002,Hyperparathyroidism due to intestinal malabsorption
78960005,Pancreatic triacylglycerol lipase deficiency
86941000,Bile acid malabsorption syndrome type I
89454001,Shwachman syndrome
91465007,Bile acid malabsorption syndrome type III
