code,term
1208934006,Sagliker syndrome
1217070004,Renal osteodystrophy due to hyperparathyroidism
154696001,Hyperparathyroidism
16218721000119107,Hyperparathyroidism due to end stage renal disease on dialysis
190045361000119101,Normocalcemic primary hyperparathyroidism
19034001,Hyperparathyroidism due to renal insufficiency
190451000,Hyperparathyroidism (& [osteitis fibrosa cystica] or [Von Recklinghausen's bone disease])
190452007,Primary hyperparathyroidism
191054005,[X]Other hyperparathyroidism
203471008,Brown tumor of hyperparathyroidism
237653008,Familial primary hyperparathyroidism
237830009,Ectopic parathyroid hormone-related protein secretion
240090006,Myopathy in hyperparathyroidism
254119005,Neonatal hyperparathyroidism
29326002,Ectopic hyperparathyroidism
31298003,Secondary hyperparathyroidism of renal origin
32463001,Primary water-clear cell hyperplasia
34230007,Hyperparathyroidism due to lithium therapy
361128007,Hyperparathyroidism caused by lithium therapy
36348003,Primary hyperparathyroidism
363627009,Parathyromatosis
389201004,Transient neonatal hyperparathyroidism
403417001,Calcifying panniculitis due to hyperparathyroidism
403418006,Calcifying panniculitis due to hyperparathyroidism in renal disease
440231000000104,[X]Other hyperparathyroidism
47445009,Hyperparathyroidism due to vitamin D deficiency
54920000,Familial hyperparathyroidism
66999008,Hyperparathyroidism
702378002,Hyperparathyroidism-jaw tumor syndrome
715218009,Neonatal severe primary hyperparathyroidism
724093004,"Nephropathy, deafness, hyperparathyroidism syndrome"
78200003,Tertiary hyperparathyroidism
786037006,Familial isolated hyperparathyroidism
78625002,Hyperparathyroidism due to intestinal malabsorption
856881000000106,Tertiary hyperparathyroidism
89471000119102,Secondary hyperparathyroidism of nonrenal origin
9092004,Parathyroid hyperplasia
91478007,Secondary hyperparathyroidism
