code,term
1003567000,Agenesis of bile duct
1010616001,Cirrhosis of liver due to classical cystic fibrosis
10295004,Chronic viral hepatitis
103611000119102,Cirrhosis of liver due to hepatitis B
10690671000119109,Stage 3 hepatic fibrosis
1082601000119104,Ascites due to alcoholic cirrhosis
1092801000119102,Hepatic ascites co-occurrent with chronic active hepatitis due to toxic liver disease
109819003,Obstructive biliary cirrhosis
111370006,Cirrhosis of liver not due to alcohol
1116000,Chronic aggressive type B viral hepatitis
1155841005,Progressive familial intrahepatic cholestasis type 2
1155913007,Progressive familial intrahepatic cholestasis type 1
1156870007,Absence of liver
1186865008,Progressive familial intrahepatic cholestasis type 3
1197150002,Recurrent hepatitis C virus induced liver disease following liver transplant
1197694007,Esophageal varices with bleeding due to toxic liver disease
1197696009,Esophageal varices with bleeding due to hepatic fibrosis
1197697000,Esophageal varices with bleeding due to primary biliary cholangitis
1197698005,Esophageal varices with bleeding due to alcoholic liver disease
1197700001,Esophageal varices with bleeding due to autoimmune hepatitis
1197704005,Autoantibody negative autoimmune hepatitis
1197736003,Chronic hepatic failure due to portosystemic shunt
12224501000119108,Infection of transplanted liver
1230291009,Primary biliary cholangitis and/or primary sclerosing cholangitis and autoimmune hepatitis overlap syndrome
1230342001,Hepatitis B reinfection following transplantation of liver
1234778004,Steatohepatitis caused by ethanol
123604002,Toxic cirrhosis
123605001,Nutritional cirrhosis
123606000,Cholangiolitic cirrhosis
12368000,Secondary biliary cirrhosis
123716002,Latent cirrhosis
123717006,Advanced cirrhosis
1259465009,Dementia due to hepatic failure
1263507006,Myoclonic disorder due to hepatic failure
1268390002,Metastatic undifferentiated carcinoma to liver and intrahepatic biliary tract
128072003,Acquired portal-systemic shunt due to cirrhosis
128302006,Chronic hepatitis C
1287007,Congenital absence of bile duct
15999000,Mixed micro and macronodular cirrhosis
16070004,Syphilitic cirrhosis
16098491000119109,Chronic autoimmune hepatitis
161671001,History of liver recipient
16623921000119105,Viral hepatitis C in mother during pregnancy
16859701000119109,Chronic hepatitis B during pregnancy
174425003,Orthotopic liver transplant
174426002,Heterotopic liver transplant
174427006,Replacement of previous liver transplant
1761006,Biliary cirrhosis
18027006,Transplantation of liver
186639003,Chronic viral hepatitis B without delta-agent
19682006,Lupus hepatitis
197279005,Cirrhosis and chronic liver disease
197284004,Chronic active hepatitis
197286002,Recurrent hepatitis
197291001,Unilobular portal cirrhosis
197293003,Diffuse nodular cirrhosis
197294009,Fatty portal cirrhosis
197296006,Capsular portal cirrhosis
197299004,Pigmentary portal cirrhosis
197301006,Toxic portal cirrhosis
197303009,Bacterial portal cirrhosis
197305002,Syphilitic portal cirrhosis
197306001,Zooparasitic portal cirrhosis
197310003,Biliary cirrhosis of children
197359004,Toxic liver disease with chronic persistent hepatitis
197360009,Toxic liver disease with chronic lobular hepatitis
197361008,Toxic liver disease with chronic active hepatitis
197362001,Toxic liver disease with fibrosis and cirrhosis of liver
197553002,[X]Other and unspecified cirrhosis of liver
19943007,Cirrhosis of liver
204781002,Congenital absence of hepatic ducts
204782009,Atresia of hepatic ducts
213153001,Liver transplant failure and rejection
21861000,Micronodular cirrhosis
235458006,Exploration of liver transplant
235869004,Chronic viral hepatitis B with hepatitis D
235870003,Chronic non-A non-B hepatitis
235886005,Chronic hepatic failure
235889003,Drug-induced chronic hepatitis
235894003,Portal cirrhosis
235895002,"Laennec's cirrhosis, non-alcoholic"
235896001,Infectious cirrhosis
235897005,Hypoxia-associated cirrhosis
235899008,Hepatic sclerosis
235901004,Hepatic fibrosis with hepatic sclerosis
235902006,Intrahepatic phlebosclerosis and fibrosis
235910007,Liver transplant disorder
235911006,Liver transplant rejection
235912004,Liver transplant failure
235916001,Ichthyosis congenita with biliary atresia
253807009,Intrahepatic biliary atresia
266468003,Cirrhosis - non-alcoholic
266469006,Multilobular portal cirrhosis
266470007,Cardiac portal cirrhosis
266471006,Juvenile portal cirrhosis
271440004,Cirrhosis secondary to cholestasis
27156006,Posthepatitic cirrhosis
27280000,Liver transplant with recipient hepatectomy
28009009,Liver transplant without recipient hepatectomy
307757001,Chronic alcoholic hepatitis
308129003,Esophageal varices in cirrhosis of the liver
309783001,Esophageal varices in alcoholic cirrhosis of the liver
31155007,Benign recurrent intrahepatic cholestasis
314963000,Local recurrence of malignant neoplasm of liver
31712002,Primary biliary cholangitis
328383001,Chronic liver disease
33144001,Parasitic cirrhosis
33167004,Complication of transplanted liver
34736002,Chronic passive congestion of liver
347891000119103,Chronic hepatitis C with stage 3 fibrosis
371139006,Early cirrhosis
37688005,Clonorchiasis with biliary cirrhosis
38662009,Chronic persistent type B viral hepatitis
408335007,Autoimmune hepatitis
41889008,Chronic persistent hepatitis
419728003,Portal cirrhosis
420054005,Alcoholic cirrhosis
425413006,Drug-induced cirrhosis of liver
426356008,Orthotopic transplantation of whole liver
431222008,Acute rejection of liver transplant
432772009,Hyperacute rejection of liver transplant
432777003,Accelerated rejection of liver transplant
432908002,Chronic rejection of liver transplant
43904005,Macronodular cirrhosis
450880008,Chronic hepatitis E
45256007,Cruveilhier-Baumgarten syndrome
470971000000107,[X]Other and unspecified cirrhosis of liver
50167007,Chronic active type B viral hepatitis
536002,Glissonian cirrhosis
57339008,Chronic lobular hepatitis
589541000000101,Infectious cirrhosis NOS
589551000000103,Portal cirrhosis unspecified
589561000000100,Biliary cirrhosis NOS
60037002,Chronic persistent viral hepatitis
6183001,Indian childhood cirrhosis
61977001,Chronic type B viral hepatitis
662341000000105,Cirrhosis of liver NOS
66870002,Chronic active viral hepatitis
671731000000104,Non-alcoholic cirrhosis NOS
699189004,North American Indian childhood cirrhosis
702377007,"Hypermanganesemia with dystonia, polycythemia, and cirrhosis"
702969000,Reactivation of hepatitis C viral hepatitis
703866000,Chronic hepatitis C with stage 2 fibrosis
708198006,Chronic active hepatitis C
708248004,End stage liver disease
710066005,Child-Pugh score class B
710067001,Child-Pugh score class C
713181003,Chronic alcoholic liver disease
713966008,Occult chronic type B viral hepatitis
715401008,Primary biliary cirrhosis co-occurrent with systemic scleroderma
715864007,Non-Wilsonian hepatic copper toxicosis of infancy and childhood
716203000,Decompensated cirrhosis of liver
717156002,Biliary atresia with splenic malformation syndrome
721711009,Autoimmune hepatitis type 1
721712002,Autoimmune hepatitis type 2
721713007,Autoimmune hepatitis type 3
725416005,Cardiomyopathy due to cirrhosis of liver
725938001,Cirrhosis of liver caused by methotrexate
725939009,Cirrhosis of liver caused by amiodarone
725940006,Cirrhosis of liver caused by methyldopa
73475009,Hepatogenous chronic copper poisoning
735451005,Chronic infection caused by Hepatitis D virus
735732003,Liver disease co-occurrent and due to mitochondrial disorder
735733008,Cirrhosis of liver due to primary sclerosing cholangitis
737297006,Transplanted liver present
74162007,Progressive intrahepatic cholestasis
74669004,Cardiac cirrhosis
76301009,Florid cirrhosis
765482002,Steatohepatitis caused by ingestible alcohol
767809001,Chronic hepatitis C caused by hepatitis C virus genotype 6
767810006,Chronic hepatitis C caused by hepatitis C virus genotype 5
76783007,Chronic hepatitis
768006009,Chronic hepatitis C caused by Hepatitis C virus genotype 3
768125005,Chronic hepatitis C caused by Hepatitis C virus genotype 2
768126006,Chronic hepatitis C caused by Hepatitis C virus genotype 4
768127002,Chronic hepatitis C caused by Hepatitis C virus genotype 1
768288001,Chronic hepatitis C caused by Hepatitis C virus genotype 1b
768289009,Chronic hepatitis C caused by Hepatitis C virus genotype 1a
774204006,"Growth retardation, mild developmental delay, chronic hepatitis syndrome"
77480004,Congenital biliary atresia
776981000000103,Cirrhosis associated with cystic fibrosis
778131000000103,Cystic fibrosis related cirrhosis
78208005,Pigment cirrhosis
79720007,Chronic nonalcoholic liver disease
81675001,Chronic yellow atrophy of liver
818951009,Congenital respiratory biliary fistula
82611000000107,Hepatitis C screening - infected with hepatitis C virus
82821008,Congenital atresia of extrahepatic bile duct
831000119103,Cirrhosis of liver due to chronic hepatitis C
838377003,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection
838380002,Chronic hepatitis B co-occurrent with hepatitis C and hepatitis D
853761000000103,Living donor liver transplantation
863957008,Chronic necrosis of liver
86454000,Postnecrotic cirrhosis
871619002,Cirrhosis of liver due to and following cardiac procedure
890201000,Congenital absence of cystic duct
89580002,Cryptogenic cirrhosis
897004000,Esophageal varices due to cirrhosis of liver
897005004,Esophageal varices due to alcoholic cirrhosis of liver
89789003,Chronic aggressive viral hepatitis
9843006,Chronic lymphocytic cholangitis-cholangiohepatitis
