code,term
10654009,Postsurgical ovarian failure
111550004,Ovarian failure
1156768008,Ovarioleukodystrophy
116144002,Total abdominal hysterectomy with bilateral salpingo-oophorectomy
123731521000119108,Asymptomatic premature menopause
1237345002,"46,XX ovarian dysgenesis, short stature syndrome"
1332509007,Fragile X associated primary ovarian insufficiency
1338019004,Menopause caused by ionizing radiation
1338020005,Menopause due to and following radiotherapy
1345272009,Ovarian failure following procedure
149801009,Bilateral oophorectomy
149804001,Bilateral salpingo-oophorectomy
149877007,Total abdominal hysterectomy and bilateral salpingo-oophorectomy
156055003,Artificial menopause
174361000000109,Laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy
176799000,Total abdominal hysterectomy and bilateral salpingo-oophorectomy
176903000,Bilateral oophorectomy NEC
190538008,Postablative ovarian failure
190539000,Post-surgical ovarian failure
190540003,Other iatrogenic postablative ovarian failure
190541004,Other specified postablative ovarian failure
190542006,Postablative ovarian failure NOS
190543001,(Other ovarian failure) or (ovarian hypogonadism)
190544007,Secondary ovarian failure &/or premature menopause NOS
190545008,Hypergonadotrophic ovarian failure
190547000,Other specified other ovarian failure
190548005,Other ovarian failure NOS
205683001,Ovarian dysgenesis
217228191000119105,Female infertility due to ovarian failure
237123000,Normal menopause
237138004,Menopause ovarian failure
237787007,Post-chemotherapy ovarian failure
237788002,Premature ovarian insufficiency
237789005,Premature menopause NOS
237790001,Autoimmune primary ovarian failure
267399006,Other ovarian failure
267400004,Secondary ovarian failure
278063007,Post-hysterectomy menopause
278064001,Post-radiation menopause
289903006,Menopause present
29529008,Supracervical hysterectomy with removal of both tubes and ovaries
29827000,Excision of bilateral fallopian tubes and ovaries
31351009,Postartificial menopausal syndrome
338051000000107,Premature menopause
368341000119109,Symptomatic postprocedural ovarian failure
371036001,Postsurgical menopause
373717006,Premature menopause
373718001,Artificial menopause
373837003,Ovarian ablation by external beam radiation therapy
373838008,Ovarian ablation by internal radioisotope source
373844007,Ovarian ablation
376181000000101,Laparoscopic-assisted vaginal hysterectomy with bilateral salpingo-oophorectomy
389317008,H/O: bilateral oophorectomy
390052003,H/O: bilateral oophorectomy
391083006,History of bilateral oophorectomy
414575003,Laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy
42245002,Iatrogenic ovarian failure
427851004,History of bilateral salpingo-oophorectomy
427956008,History of normal menopause
429763009,History of total hysterectomy with bilateral salpingo-oophorectomy
441820006,Laparoscopic-assisted vaginal hysterectomy with bilateral salpingo-oophorectomy
45055003,Ovarian failure following radiotherapy
473239006,Excision of bilateral ovaries for malignant neoplasm of ovary
488951000000106,Laparoscopic-assisted vaginal hysterectomy with bilateral salpingo-oophorectomy 
535301000000100,Bilateral oophorectomy NEC
55329001,"Other ovarian failure, NEC"
593741000000106,Other iatrogenic postablative ovarian failure
593751000000109,Other specified postablative ovarian failure
609230000,Laparoscopic bilateral salpingo-oophorectomy
609274003,Laparoscopic bilateral salpingo-oophorectomy with conversion to laparotomy
609275002,Laparoscopic bilateral oophorectomy
636071000000109,Other ovarian failure NOS
652611000000106,Postablative ovarian failure NOS
652621000000100,Other specified other ovarian failure
65846009,Primary ovarian failure
67886002,Artificial menopause
679641000000104,Other ovarian failure
708816008,Laparoscopic bilateral salpingo-oophorectomy using robotic assistance
717910009,Iatrogenic premature ovarian insufficiency
717954003,Acquired premature ovarian failure
721176002,Idiopathic premature ovarian insufficiency
721198006,Premature ovarian insufficiency due to autoimmune inflammation of ovary
721977007,"Lung fibrosis, immunodeficiency, 46,XX gonadal dysgenesis syndrome"
722114007,"Sclerosing dysplasia of bone, ichthyosis, premature ovarian failure syndrome"
724461000,Ovarian failure due to procedure
74296006,Menopause praecox
76498008,Postmenopausal state
76876009,Excision of bilateral ovaries
770679002,"Polyneuropathy, intellectual disability, acromicria, premature menopause syndrome"
80956002,Resistant ovary syndrome
81785007,Menopause
86477000,Total hysterectomy with removal of both tubes and ovaries
918381000000103,Subtotal abdominal hysterectomy and bilateral salpingo-oophorectomy
918511000000102,Radical hysterectomy with bilateral salpingo-oophorectomy
918521000000108,Radical hysterectomy with bilateral salpingo-oophorectomy 
95198001,"Pure gonadal dysgenesis 46,XX"
