code,term
10485311000001105,Raloxifene 60mg tablets (Dowelhurst Ltd) (AMP)
10511811000001107,Evista 60mg tablets (Dowelhurst Ltd) (AMP)
14229711000001104,Evista 60mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14617011000001102,Raloxifene 60mg tablets (Sigma Pharmaceuticals Plc) (AMP)
16573411000001106,Evista 60mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18258711000001108,Evista 60mg tablets (Necessity Supplies Ltd) (AMP)
19999311000001105,Evista 60mg tablets (DE Pharmaceuticals) (AMP)
21960811000001102,Raloxifene 60mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
22109311000001101,Raloxifene 60mg tablets (Teva UK Ltd) (AMP)
22358811000001101,Razylan 60mg tablets (Aspire Pharma Ltd) (AMP)
22517711000001102,Raloxifene 60mg tablets (Consilient Health Ltd) (AMP)
22567411000001107,Raloxifene 60mg tablets (A A H Pharmaceuticals Ltd) (AMP)
239811000001103,Evista 60mg tablets (Daiichi Sankyo UK Ltd) (AMP)
24110811000001107,Raloxifene 60mg tablets (Sandoz Ltd) (AMP)
24559611000001104,Raloxifene 60mg tablets (Accord-UK Ltd) (AMP)
24676811000001104,Ostiral 60mg tablets (Lupin Healthcare (UK) Ltd) (AMP)
28996211000001107,Raloxifene 60mg tablets (Dr Reddy's Laboratories (UK) Ltd) (AMP)
30086311000001109,Raloxifene 60mg tablets (DE Pharmaceuticals) (AMP)
30863211000001105,Raloxifene 60mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
32460211000001101,Evirex 60mg tablets (Somex Pharma) (AMP)
33612911000001100,Raloxifene 60mg tablets (Viatris UK Healthcare Ltd) (AMP)
33971011000001100,Raloxifene 60mg tablets (Somex Pharma) (AMP)
34444711000001101,Raloxifene 60mg tablets (Bristol Laboratories Ltd) (AMP)
38744511000001103,Raloxifene 60mg tablets (Aspire Pharma Ltd) (AMP)
39205211000001101,Raloxifene 60mg tablets (Medihealth (Northern) Ltd) (AMP)
42088011000001101,Raloxifene 60mg tablets (VMP)
5362611000001109,Evista 60mg tablets (Waymade Healthcare Plc) (AMP)
777391000,Raloxifene (VTM)
