code,term
1003379004,Osteogenesis imperfecta type 5
1197018005,Osteogenesis imperfecta type IIC
15552004,"Osteogenesis imperfecta, recessive perinatal lethal, with microcephaly AND cataracts"
205492005,(Osteogenesis imperfecta) or (Vrolik's disease) or (syndromes: [Adair-Dighton] or [Lobstein's] or [Van der Hoeve's])
205493000,Osteogenesis imperfecta
205494006,Osteopsathyrosis
205495007,Osteogenesis imperfecta - unclassifiable
205496008,Osteogenesis imperfecta type II
205497004,Osteogenesis imperfecta type IV
205498009,Osteogenesis imperfecta NOS
254105005,Osteogenesis imperfecta
254106006,Osteogenesis imperfecta
254107002,Osteogenesis imperfecta
254108007,Osteogenesis imperfecta
254109004,Osteogenesis imperfecta
254110009,Osteogenesis imperfecta type IIA
254111008,Osteogenesis imperfecta type IIB
254112001,Osteoporosis with pseudoglioma
278454001,"Osteogenesis imperfecta, perinatal lethal"
279309008,"Osteogenesis imperfecta, type IV B"
280159008,"Osteogenesis imperfecta, type IV A"
3508009,Osteogenesis imperfecta with blue sclerae
385482004,Osteogenesis imperfecta type I
385483009,Osteogenesis imperfecta type III
50937002,"Osteogenesis imperfecta with normal sclerae, dominant form"
54625007,Osteogenesis imperfecta with progressive deformity AND normal sclerae
63890001,Osteogenesis imperfecta with blue sclerae AND dentinogenesis imperfecta
64404003,Osteogenesis imperfecta with blue sclerae AND normal teeth
657741000000102,Osteogenesis imperfecta NOS
7134007,"Osteogenesis imperfecta, dominant perinatal lethal"
722110003,"Osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome"
732956000,Brachydactyly and distal symphalangism syndrome
733457006,Ehlers-Danlos and osteogenesis imperfecta syndrome
782781006,High bone mass osteogenesis imperfecta
78314001,Osteogenesis imperfecta
78354004,"Osteogenesis imperfecta, perinatal lethal"
86470003,"Osteogenesis imperfecta, recessive perinatal lethal"
