code,term
1003678001,Heart disease due to thyrotoxicosis
10754921000119106,Hyperthyroidism in childbirth
10754961000119101,Postpartum hyperthyroidism
10760041000119103,Thyroiditis in mother complicating childbirth
10760381000119106,Thyroiditis in pregnancy
1137377003,Cardiomyopathy due to thyrotoxicosis
1163454006,Thyrotoxicosis due to hyperfunctioning follicular adenoma of thyroid gland
1186851006,Thyroiditis caused by ionizing radiation due to and following iodine 131 treatment
1357753002,Immunoglobulin G4 related thyroid disease
137421000119106,Graves' disease in remission
138714009,H/O: hyperthyroidism
154655004,Thyrotoxicosis: [+/- goitre] or [toxic goitre] or [Graves disease] or [thyroid nodule]
154659005,Thyrotoxicosis NOS
154665005,Acute thyroiditis
154666006,Subacute thyroiditis (& [de Quervain's])
154667002,Chronic thyroiditis (& [Hashimoto's disease])
15470004,Toxic diffuse goiter with acropachy
161442007,History of hyperthyroidism
18018005,Self-limiting autoimmune thyroiditis with transient hyperthyroidism and/or hypothyroidism
186661000000102,Hyperthyroidism resolved
190101000000105,Hyperthyroidism resolved
190239004,([Thyrotoxicosis] or [hyperthyroidism]) or (toxic goitre)
190241003,Toxic diffuse goiter with no crisis
190242005,Toxic diffuse goiter with crisis
190244006,Toxic uninodular goiter with no crisis
190247004,Toxic multinodular goiter with no crisis
190255006,Thyrotoxicosis due to ectopic thyroid nodule with no crisis
190256007,Thyrotoxicosis due to ectopic thyroid nodule with crisis
190257003,Thyrotoxicosis from ectopic thyroid nodule NOS
190258008,Thyrotoxicosis: [other specified origin] or [factitia]
190259000,Thyrotoxicosis of other specified origin with no crisis
190260005,Thyrotoxicosis of other specified origin with crisis
190261009,Factitia thyrotoxicosis
190263007,Thyrotoxicosis of other specified origin NOS
190264001,Thyrotoxicosis without mention of goiter or other cause
190265000,Thyrotoxicosis without mention of goiter or other cause with no crisis
190266004,Thyrotoxicosis without mention of goiter or other cause with crisis
190267008,Thyrotoxicosis NOS
190293001,Acute thyroiditis
190294007,Acute non-suppurative thyroiditis
190295008,Acute thyroiditis NOS
190296009,Subacute thyroiditis (& [de Quervain's])
190297000,Thyroiditis: [chronic lymphocytic] or [autoimmune] or [Hashimoto's]
190298005,Thyroiditis: [chronic fibrous] or [Riedel's]
190299002,Other and unspecified chronic thyroiditis
190300005,Chronic thyroiditis with transient thyrotoxicosis
191040002,[X]Other thyrotoxicosis
191041003,[X]Other chronic thyroiditis
193214009,Myasthenic syndrome due to thyrotoxicosis
1970002,Iodine-induced hyperthyroidism
19885005,Thyrotoxic exophthalmos
199241008,Postpartum thyroiditis
22350004,T>3< thyrotoxicosis
230308000,Chorea due to thyrotoxicosis
237498007,Toxic goiter
237499004,Thyrotoxicosis due to Graves' disease
237500008,Hashitoxicosis - transient
237501007,Thyrotoxicosis due to acute thyroiditis
237503005,Borderline thyrotoxicosis
237505003,Apathetic thyrotoxicosis
237506002,Thyrotoxicosis in pregnancy
237507006,Human chorionic gonadotrophin-induced thyrotoxicosis
237508001,Iatrogenic thyrotoxicosis
237509009,Thyrotoxicosis on thyroxine therapy
237510004,Iodine-induced thyrotoxicosis
237511000,Thyrotoxicosis due to inappropriate TSH secretion
237512007,Thyrotoxicosis due to thyrotropin-secreting pituitary adenoma
237530000,De Quervain's thyroiditis
237531001,Giant-cell thyroiditis
237532008,Granulomatous thyroiditis
237533003,Non-suppurative subacute thyroiditis
237536006,Lymphocytic thyroiditis - autoimmune
237538007,Chronic thyroiditis with transient thyrotoxicosis
237539004,Drug-induced thyroiditis
237541003,Silent thyroiditis
237824009,Juvenile Graves' disease
25008002,Hyperthyroidism due to struma ovarii
25476006,Acute suppurative thyroiditis
26151008,Graves' disease with acropachy AND with thyrotoxic crisis
26389007,Toxic multinodular goiter
267373004,Thyrotoxicosis
267374005,Toxic diffuse goiter
267375006,Thyrotoxicosis of other specified origin
267464006,Thyrotoxicosis: [+/- goitre] or [toxic goitre] or [Graves disease] or [thyroid nodule]
267466008,Chronic thyroiditis (& [Hashimoto's disease])
27538003,Hyperthyroidism with Hashimoto disease
276177000,Thyroid eye disease
286909009,Thyrotoxicosis with or without goiter
29028009,Thyrotoxic crisis
30985009,Toxic nodular goiter with thyrotoxic storm
34486009,Hyperthyroidism
353295004,Graves' disease
360353005,Thyrotoxicosis due to pituitary thyroid hormone resistance
360358001,Thyrotoxicosis due to overproduction of thyroid stimulating hormone
360361000,Thyrotoxicosis due to inappropriate thyroid stimulating hormone secretion
361124009,Self-limiting autoimmune thyroiditis with transient hyperthyroidism and/or hypothyroidism
36641000119106,Euthyroid thyroiditis
367201000119101,Thyroiditis caused by amiodarone
38727009,Subacute thyroiditis
40607004,Hyperthyroidism due to hydatidiform mole with thyrotoxic crisis
415717005,Thyroid eye disease with exophthalmos
416477006,Hyperthyroidism resolved
425061000000107,[X]Other chronic thyroiditis
427970008,Subclinical hyperthyroidism
445878006,Multifocal granulomatous folliculitis of the thyroid
44744000,Hyperthyroidism due to molar thyrotropin
450081000000105,[X]Other thyrotoxicosis
45053005,Chronic thyroiditis
479003,Graves' disease with pretibial myxedema AND with thyrotoxic crisis
4997005,Thyrotoxicosis factitia
509381000000104,Dysthyroid exophthalmos
52772002,Postpartum thyroiditis
53061005,Endocrine exophthalmos
55807009,Exophthalmos due to toxic diffuse goiter
57777000,Toxic nodular goiter
5834008,Hyperthyroidism caused by potassium iodide
60216004,Toxic diffuse goiter with thyrotoxic crisis
60268006,Toxic diffuse goiter with pretibial myxedema
605066651000119104,Subclinical hyperthyroidism in pregnancy
61556008,Iatrogenic thyroiditis
62052002,Hyperthyroidism caused by amiodarone
62278002,Toxic multinodular goiter with thyrotoxic crisis
630791000000109,Thyrotoxicosis from ectopic thyroid nodule NOS
653161000000106,Thyrotoxicosis of other specified origin with no crisis
653171000000104,Thyrotoxicosis without mention of goiter or other cause
653181000000102,Thyrotoxicosis without mention of goiter or other cause with no crisis
653191000000100,Thyrotoxicosis without mention of goiter or other cause with crisis
653201000000103,Thyrotoxicosis NOS
654501000000102,Acute thyroiditis NOS
654511000000100,Other and unspecified chronic thyroiditis
662051000000105,Thyrotoxicosis of other specified origin with crisis
662061000000108,Thyrotoxicosis of other specified origin NOS
66944004,Autoimmune thyroiditis
67723002,Hyperthyroidism caused by radio contrast dye
681031000000106,Thyrotoxicosis of other specified origin
68437005,Thyrotoxic myopathy
69329005,Toxic uninodular goiter with thyrotoxic crisis
703309000,Familial gestational hyperthyroidism
709124008,Chronic fibrous thyroiditis
716743006,Familial hyperthyroidism due to mutation in thyroid stimulating hormone receptor
72271000119100,Hyperthyroidism in pregnancy
722941003,Secondary hyperthyroidism
722942005,Familial hyperthyroidism
73869005,Toxic uninodular goiter
771271000,Steroid-responsive encephalopathy associated with autoimmune thyroiditis
810646391000119100,Subclinical hyperthyroidism in puerperium
82119001,Thyroiditis
860231000000102,Subclinical hyperthyroidism
860241000000106,Subclinical hyperthyroidism 
87232008,Hyperthyroidism due to ectopic thyroid nodule
88104005,Focal thyroiditis
88740003,Thyrotoxicosis factitia with thyrotoxic crisis
89024000,Riedel's thyroiditis
89719007,Thyrotoxicosis without goiter or other cause
898208007,Heart failure due to thyrotoxicosis
90441002,Chronic nonsuppurative thyroiditis
90739004,Thyrotoxicosis
93558006,Hypertrophic cardiomyopathy secondary to hyperthyroidism
9476000,Chronic suppurative thyroiditis
