code,term
105542008,Current non-drinker of alcohol
1082631000000102,Alcohol units consumed per day
1082641000000106,Alcohol units consumed per week
10939881000119105,Unhealthy alcohol drinking behavior
15167005,AA - Alcohol abuse
160573003,Alcohol intake
160575005,Light drinker - 1-2u/day
160576006,Moderate drinker - 3-6u/day
160577002,Heavy drinker - 7-9u/day
160578007,Very heavy drinker - greater than 9 units/day
160579004,Stopped drinking alcohol
160582009,Ex-trivial drinker - less than 1 unit/day
160583004,Ex-light drinker - (1-2u/day)
160584005,Ex-moderate drinker - (3-6u/d)
160585006,Ex-heavy drinker - (7-9u/day)
160587003,Ex-very heavy drinker - greater than 9 units/day
160588008,Drinker of hard liquor
160589000,Beer drinker
160590009,Drinks beer and hard liquor
160591008,Drinks wine
160592001,Alcohol intake above recommended sensible limits
160593006,Alcohol intake within recommended sensible limits
163184002,O/E - breath - alcohol smell
171208001,Alcohol consumption screening
191882002,Continuous nondependent harmful pattern of use of alcohol
191883007,Episodic nondependent harmful pattern of use of alcohol
198421000000108,Hazardous alcohol use
198431000000105,Harmful alcohol use
219006,Current drinker of alcohol
228274009,Lifetime non-drinker
228276006,Occasional drinker
228277002,Light drinker
228278007,Fairly heavy drinker
228279004,Very heavy drinker
228281002,Problem drinker
228315001,Binge drinker
228316000,Alcoholic binges exceeding sensible amounts
228317009,Alcoholic binges exceeding safe amounts
228326007,Drinking binge
228362008,Feels should cut down drinking
228958009,Alcohol units per week
230085005,Beer intake
230086006,Wine intake
230088007,Hard liquor intake
25702006,[X]Evid alcoh invol detrm by pres alcoh in bld levl not spec
266917007,Trivial drinker - <1u/day
268645007,Nondependent harmful pattern of use of alcohol
273265007,AUDIT - Alcohol use disorders identification test
279651000000104,Disqualified from driving due to excess alcohol
28127009,Social drinker
285411000000105,Alcohol screen - fast alcohol screening test completed
285441000000106,Alcohol screen - alcohol use disorder identification test consumption questions completed
285991000000109,Alcohol screen - alcohol use disorder identification test Piccinelli consumption questions completed
286857004,Ex-problem drinker
29212009,Alcohol-related disorder
300939009,Abstinent alcoholic
303471000000106,FAST - Fast Alcohol Screening Test
315226008,Pain in lymph nodes after alcohol consumption
32553006,Hangover
335811000000106,Alcohol use disorder identification test consumption questionnaire
43783005,Moderate drinker
441685000,[X]Eviden of alcohl involv blood alcohl level 40-59mg/100ml
442547005,Number of alcohol units consumed on heaviest drinking day
447087000,Drinks alcoholic cider
66590003,Alcohol dependence
7200002,Alcoholism
748381000000102,Drinks real ale
777631000000108,Increasing risk alcohol drinking
777651000000101,Higher risk alcohol drinking
777671000000105,Lower risk alcohol drinking
783261004,Lifetime non-drinker of alcohol
82581004,Ex-drinker
86933000,Heavy drinker
896792007,Cider intake
896807001,Estimated volume of intake of alcoholic cider in 24 hours
896808006,Estimated volume of intake of wine in 24 hours
896809003,Estimated volume of intake of distilled spirits in 24 hours
896812000,Estimated volume of intake of beer in 24 hours
897148007,Alcoholic beverage intake
91388009,[X]Ment & behav dis due use alcohol: unsp ment & behav dis
926322008,Intake of distilled spirits
